county,gini
"Plymouth County, Massachusetts",0.4618
"Suffolk County, Massachusetts",0.5392
"Worcester County, Massachusetts",0.4601
"Allegan County, Michigan",0.4
"Bay County, Michigan",0.4148
"Berrien County, Michigan",0.4986
"Calhoun County, Michigan",0.4363
"Clinton County, Michigan",0.4268
"Eaton County, Michigan",0.4066
"Genesee County, Michigan",0.4554
"Grand Traverse County, Michigan",0.4389
"Ingham County, Michigan",0.4825
"Isabella County, Michigan",0.4987
"Jackson County, Michigan",0.4489
"Kalamazoo County, Michigan",0.4696
"Kent County, Michigan",0.4707
"Lapeer County, Michigan",0.4097
"Lenawee County, Michigan",0.4162
"Livingston County, Michigan",0.3951
"Macomb County, Michigan",0.4237
"Marquette County, Michigan",0.4326
"Midland County, Michigan",0.46
"Monroe County, Michigan",0.4113
"Muskegon County, Michigan",0.4283
"Oakland County, Michigan",0.466
"Ottawa County, Michigan",0.4237
"Saginaw County, Michigan",0.4746
"St. Clair County, Michigan",0.4207
"Shiawassee County, Michigan",0.3746
"Van Buren County, Michigan",0.4613
"Washtenaw County, Michigan",0.4731
"Wayne County, Michigan",0.5025
"Anoka County, Minnesota",0.3936
"Blue Earth County, Minnesota",0.4464
"Carver County, Minnesota",0.4309
"Dakota County, Minnesota",0.4042
"Hennepin County, Minnesota",0.4838
"Olmsted County, Minnesota",0.4613
"Ramsey County, Minnesota",0.4539
"Rice County, Minnesota",0.4358
"St. Louis County, Minnesota",0.449
"Scott County, Minnesota",0.4026
"Sherburne County, Minnesota",0.3686
"Stearns County, Minnesota",0.4293
"Washington County, Minnesota",0.424
"Wright County, Minnesota",0.3781
"DeSoto County, Mississippi",0.4146
"Forrest County, Mississippi",0.4756
"Harrison County, Mississippi",0.446
"Hinds County, Mississippi",0.4808
"Jackson County, Mississippi",0.4679
"Jones County, Mississippi",0.542
"Lauderdale County, Mississippi",0.4918
"Lee County, Mississippi",0.4633
"Madison County, Mississippi",0.4564
"Rankin County, Mississippi",0.4171
"Boone County, Missouri",0.4789
"Buchanan County, Missouri",0.4088
"Cape Girardeau County, Missouri",0.4947
"Cass County, Missouri",0.3988
"Christian County, Missouri",0.3917
"Clay County, Missouri",0.4003
"Cole County, Missouri",0.3943
"Franklin County, Missouri",0.4411
"Greene County, Missouri",0.4429
"Jackson County, Missouri",0.474
"Jasper County, Missouri",0.4287
"Jefferson County, Missouri",0.3931
"Platte County, Missouri",0.4204
"St. Charles County, Missouri",0.4012
"St. Francois County, Missouri",0.3969
"St. Louis County, Missouri",0.4886
"St. Louis city, Missouri",0.5099
"Cascade County, Montana",0.5014
"Flathead County, Montana",0.491
"Gallatin County, Montana",0.4626
"Lewis and Clark County, Montana",0.3944
"Missoula County, Montana",0.4678
"Yellowstone County, Montana",0.4405
"Douglas County, Nebraska",0.479
"Lancaster County, Nebraska",0.4442
"Sarpy County, Nebraska",0.3724
"Clark County, Nevada",0.4604
"Washoe County, Nevada",0.4513
"Cheshire County, New Hampshire",0.4408
"Grafton County, New Hampshire",0.4976
"Hillsborough County, New Hampshire",0.4277
"Merrimack County, New Hampshire",0.4256
"Rockingham County, New Hampshire",0.4053
"Strafford County, New Hampshire",0.432
"Atlantic County, New Jersey",0.472
"Bergen County, New Jersey",0.4812
"Burlington County, New Jersey",0.4348
"Camden County, New Jersey",0.459
"Cape May County, New Jersey",0.4674
"Cumberland County, New Jersey",0.4286
"Essex County, New Jersey",0.5621
"Gloucester County, New Jersey",0.4231
"Hudson County, New Jersey",0.506
"Hunterdon County, New Jersey",0.4331
"Mercer County, New Jersey",0.4858
"Middlesex County, New Jersey",0.4387
"Monmouth County, New Jersey",0.4818
"Morris County, New Jersey",0.4614
"Ocean County, New Jersey",0.4491
"Passaic County, New Jersey",0.4792
"Salem County, New Jersey",0.4551
"Somerset County, New Jersey",0.4549
"Sussex County, New Jersey",0.4331
"Union County, New Jersey",0.4931
"Warren County, New Jersey",0.4261
"Bernalillo County, New Mexico",0.4811
"Chaves County, New Mexico",0.4506
"Do?a Ana County, New Mexico",0.4795
"Lea County, New Mexico",0.4317
"McKinley County, New Mexico",0.5309
"Otero County, New Mexico",0.44
"Sandoval County, New Mexico",0.4125
"San Juan County, New Mexico",0.4571
"Santa Fe County, New Mexico",0.4865
"Valencia County, New Mexico",0.4343
"Albany County, New York",0.4784
"Bronx County, New York",0.51
"Broome County, New York",0.4556
"Cattaraugus County, New York",0.4134
"Cayuga County, New York",0.4106
"Chautauqua County, New York",0.4376
"Chemung County, New York",0.4248
"Clinton County, New York",0.41
"Dutchess County, New York",0.4388
"Erie County, New York",0.4619
"Jefferson County, New York",0.4071
"Kings County, New York",0.5277
"Livingston County, New York",0.4199
"Madison County, New York",0.4061
"Monroe County, New York",0.4571
"Nassau County, New York",0.4538
"New York County, New York",0.6011
"Niagara County, New York",0.456
"Oneida County, New York",0.4803
"Onondaga County, New York",0.4567
"Ontario County, New York",0.4756
"Orange County, New York",0.4354
"Oswego County, New York",0.4133
"Putnam County, New York",0.4006
"Queens County, New York",0.4514
"Rensselaer County, New York",0.4502
"Richmond County, New York",0.4545
"Rockland County, New York",0.4559
"St. Lawrence County, New York",0.4445
"Saratoga County, New York",0.3818
"Schenectady County, New York",0.4342
"Steuben County, New York",0.4774
"Suffolk County, New York",0.4458
"Sullivan County, New York",0.4771
"Tompkins County, New York",0.4822
"Ulster County, New York",0.4467
"Warren County, New York",0.4596
"Wayne County, New York",0.4258
"Westchester County, New York",0.5508
"Alamance County, North Carolina",0.4703
"Brunswick County, North Carolina",0.4697
"Buncombe County, North Carolina",0.4641
"Burke County, North Carolina",0.4403
"Cabarrus County, North Carolina",0.4414
"Caldwell County, North Carolina",0.4353
"Carteret County, North Carolina",0.4809
"Catawba County, North Carolina",0.4786
"Chatham County, North Carolina",0.4869
"Cleveland County, North Carolina",0.4745
"Craven County, North Carolina",0.4282
"Cumberland County, North Carolina",0.4565
"Davidson County, North Carolina",0.4485
"Durham County, North Carolina",0.4701
"Forsyth County, North Carolina",0.4957
"Gaston County, North Carolina",0.4665
"Guilford County, North Carolina",0.4931
"Harnett County, North Carolina",0.4156
"Henderson County, North Carolina",0.451
"Iredell County, North Carolina",0.4714
"Johnston County, North Carolina",0.3989
"Lincoln County, North Carolina",0.4831
"Mecklenburg County, North Carolina",0.4891
"Moore County, North Carolina",0.4578
"Nash County, North Carolina",0.4752
"New Hanover County, North Carolina",0.4793
"Onslow County, North Carolina",0.4135
"Orange County, North Carolina",0.5169
"Pitt County, North Carolina",0.5017
"Randolph County, North Carolina",0.4147
"Robeson County, North Carolina",0.4872
"Rockingham County, North Carolina",0.4507
"Rowan County, North Carolina",0.4361
"Rutherford County, North Carolina",0.4449
